case_id,model,reference_diagnosis_en,primary_diagnosis_zh,correct
Case_01,GPT-5.4,Pneumothorax / pleural air,左侧气胸,True
Case_01,Gemini-3.6 Flash,Pneumothorax / pleural air,左侧气胸,True
Case_01,Kimi-K2.6,Pneumothorax / pleural air,左侧气胸,True
Case_02,GPT-5.4,Pneumothorax / pleural air,支气管炎,False
Case_02,Gemini-3.6 Flash,Pneumothorax / pleural air,胸部未见明显异常,False
Case_02,Kimi-K2.6,Pneumothorax / pleural air,支气管炎,False
Case_03,GPT-5.4,Pneumothorax / pleural air,左下肺炎,False
Case_03,Gemini-3.6 Flash,Pneumothorax / pleural air,支气管炎,False
Case_03,Kimi-K2.6,Pneumothorax / pleural air,支气管肺炎,False
Case_04,GPT-5.4,Pneumothorax / pleural air,双下肺轻度炎性浸润,False
Case_04,Gemini-3.6 Flash,Pneumothorax / pleural air,双肺未见明显异常,False
Case_04,Kimi-K2.6,Pneumothorax / pleural air,支气管炎,False
Case_05,GPT-5.4,Pneumothorax / pleural air,支气管炎,False
Case_05,Gemini-3.6 Flash,Pneumothorax / pleural air,胸部平片未见明显异常,False
Case_05,Kimi-K2.6,Pneumothorax / pleural air,急性支气管炎,False
Case_06,GPT-5.4,Pneumothorax / pleural air,右侧气胸,True
Case_06,Gemini-3.6 Flash,Pneumothorax / pleural air,右侧气胸,True
Case_06,Kimi-K2.6,Pneumothorax / pleural air,右侧气胸,True
Case_07,GPT-5.4,Pneumothorax / pleural air,支气管炎/小气道炎症,False
Case_07,Gemini-3.6 Flash,Pneumothorax / pleural air,双肺未见明显异常,False
Case_07,Kimi-K2.6,Pneumothorax / pleural air,右肺炎症,False
Case_08,GPT-5.4,Pneumothorax / pleural air,左侧少量气胸,True
Case_08,Gemini-3.6 Flash,Pneumothorax / pleural air,双肺未见明显异常,False
Case_08,Kimi-K2.6,Pneumothorax / pleural air,左侧气胸,True
Case_09,GPT-5.4,Pneumothorax / pleural air,支气管炎,False
Case_09,Gemini-3.6 Flash,Pneumothorax / pleural air,支气管炎,False
Case_09,Kimi-K2.6,Pneumothorax / pleural air,双肺支气管炎,False
Case_10,GPT-5.4,Pneumonia,右上叶肺炎,True
Case_10,Gemini-3.6 Flash,Pneumonia,右上肺大叶性肺炎,True
Case_10,Kimi-K2.6,Pneumonia,右肺上叶大叶性肺炎,True
Case_11,GPT-5.4,Pneumonia,支气管肺炎,True
Case_11,Gemini-3.6 Flash,Pneumonia,急性粟粒性肺结核,False
Case_11,Kimi-K2.6,Pneumonia,支气管肺炎,True
Case_12,GPT-5.4,Pneumonia,支气管肺炎,True
Case_12,Gemini-3.6 Flash,Pneumonia,支气管炎,False
Case_12,Kimi-K2.6,Pneumonia,双肺支气管肺炎,True
Case_13,GPT-5.4,Pneumonia,支气管肺炎,True
Case_13,Gemini-3.6 Flash,Pneumonia,支气管肺炎,True
Case_13,Kimi-K2.6,Pneumonia,支气管肺炎,True
Case_14,GPT-5.4,Pneumonia,支气管肺炎,True
Case_14,Gemini-3.6 Flash,Pneumonia,支气管肺炎,True
Case_14,Kimi-K2.6,Pneumonia,支气管肺炎,True
Case_15,GPT-5.4,Pneumonia,左下肺炎,True
Case_15,Gemini-3.6 Flash,Pneumonia,左下肺肺炎,True
Case_15,Kimi-K2.6,Pneumonia,支气管肺炎,True
Case_16,GPT-5.4,Pneumonia,右上叶肺炎,True
Case_16,Gemini-3.6 Flash,Pneumonia,右上肺大叶性肺炎,True
Case_16,Kimi-K2.6,Pneumonia,右肺上叶肺炎,True
Case_17,GPT-5.4,Pneumonia,支气管炎,False
Case_17,Gemini-3.6 Flash,Pneumonia,支气管肺炎,True
Case_17,Kimi-K2.6,Pneumonia,支气管肺炎,True
Case_18,GPT-5.4,Pneumonia,左下肺炎,True
Case_18,Gemini-3.6 Flash,Pneumonia,支气管炎,False
Case_18,Kimi-K2.6,Pneumonia,急性支气管炎,False
Case_19,GPT-5.4,Lung cancer,左肺门肿块，考虑中央型肺癌,True
Case_19,Gemini-3.6 Flash,Lung cancer,左肺占位性病变（考虑肺癌可能性大）,True
Case_19,Kimi-K2.6,Lung cancer,左肺门占位（考虑中央型肺癌）,True
Case_20,GPT-5.4,Lung cancer,右上纵隔肺门肿块，考虑中央型肺癌,True
