reference_diagnosis_zh,reference_diagnosis_en,accepted_expressions
气胸/胸腔积气,Pneumothorax / pleural air,气胸; 胸腔积气; 胸膜积气; pneumothorax; pleural air; pleural gas
肺炎,Pneumonia,肺炎; 支气管肺炎; 大叶性肺炎; 肺部感染; 感染性肺实变; 炎性浸润; 肺炎性; pneumonia; bronchopneumonia; lobar pneumonia; pulmonary infection
肺癌,Lung cancer,肺癌; 支气管肺癌; 中央型; 周围型; 肺恶性肿瘤; 肺恶性占位; lung cancer; bronchogenic; pulmonary malignancy; malignant pulmonary
支气管炎,Bronchitis,支气管炎; 气管支气管炎; 支气管感染; bronchitis; tracheobronchitis
泌尿系结石/肾结石,Urinary tract calculus / renal calculus,肾结石; 泌尿系结石; 尿路结石; 结石; nephrolithiasis; renal calculus; renal stone; urolithiasis
泌尿系结石/肾输尿管结石,Urinary tract calculus / renal or ureteral calculus,肾输尿管结石; 输尿管结石; 肾结石; 泌尿系结石; 尿路结石; 结石; ureterolithiasis; ureteral calculus; renal calculus; urolithiasis
泌尿系结石/输尿管结石,Urinary tract calculus / ureteral calculus,输尿管结石; 泌尿系结石; 尿路结石; 肾结石; 结石; ureterolithiasis; ureteral calculus; urolithiasis
肠梗阻,Intestinal obstruction,肠梗阻; 机械性肠梗阻; 小肠梗阻; 结肠梗阻; obstruction; ileus
空腔脏器穿孔,Hollow viscus perforation,穿孔; 气腹; 腹腔游离气体; 膈下游离气体; 腹腔积气; perforation; pneumoperitoneum; free air; free intraperitoneal
未见明显异常,No significant abnormality,未见明显异常; 未见异常; 未见急性异常; 未见明显急腹症; 正常; 阴性; 无异常; 非梗阻性肠气; 肠气分布; 急腹症相关征象阴性; no significant abnormality; unremarkable; normal; negative; no acute
